Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,INTRO TO ACCOUNTING,2010,01,FS2012,CBUSN,"GINGRICH,KARI MICHELLE",44,52,18,2,0,3.143
ACCTCY,ACCOUNTING 1,2036,01,FS2012,CBUSN,"CUNNINGHAM,BILLIE M",97,127,72,34,20,2.665
ACCTCY,ACCOUNTING 1,2036,02,FS2012,CBUSN,"CUNNINGHAM,BILLIE M",171,151,67,14,8,3.078
ACCTCY,ACCOUNTING 1,2036,03,FS2012,CBUSN,"CUNNINGHAM,BILLIE M",25,17,8,4,5,2.863
ACCTCY,ACCOUNTING 2,2037,01,FS2012,CBUSN,"PRESTIGIACOMO,CARL CHRI",36,76,60,25,7,2.509
ACCTCY,ACCOUNTING 2,2037,02,FS2012,CBUSN,"PRESTIGIACOMO,CARL CHRI",37,83,91,35,10,2.403
ACCTCY,HNR:ACCOUNTING 1 GH,2136H,01,FS2012,CBUSN,"NIKOLAI,LOREN ALFRED",21,3,0,0,0,3.863
ACCTCY,COMP-BASED DATA SYSTEMS,2258,01,FS2012,CBUSN,"HOCKMAN,KRISTEN MICHELL",3,12,3,1,0,2.926
ACCTCY,COMP-BASED DATA SYSTEMS,2258,02,FS2012,CBUSN,"HOCKMAN,KRISTEN MICHELL",11,20,4,1,0,3.189
ACCTCY,COMP-BASED DATA SYSTEMS,2258,03,FS2012,CBUSN,"HOCKMAN,KRISTEN MICHELL",7,21,7,1,0,3.011
ACCTCY,COMP-BASED DATA SYSTEMS,2258,04,FS2012,CBUSN,"HOCKMAN,KRISTEN MICHELL",10,18,6,0,1,3.097
ACCTCY,COMP-BASED DATA SYSTEMS,2258,05,FS2012,CBUSN,"HOCKMAN,KRISTEN MICHELL",9,19,5,0,1,3.038
ACCTCY,COMP-BASED DATA SYSTEMS,2258,06,FS2012,CBUSN,"HOCKMAN,KRISTEN MICHELL",3,20,8,1,1,2.688
