Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,INTRO TO ACCOUNTING,2010,1,FS2006,BUS,"HOCKMAN,KRISTEN MICH",25,39,21,5,4,2.767
ACCTCY,ACCOUNTING 1,2036,1,FS2006,BUS,"CUNNINGHAM,BILLIE M",64,109,105,26,9,2.617
ACCTCY,ACCOUNTING 1,2036,2,FS2006,BUS,"CUNNINGHAM,BILLIE M",88,177,113,36,12,2.688
ACCTCY,ACCOUNTING 1,2036,3,FS2006,BUS,"XU,XIUMIN",5,19,19,8,8,2.085
ACCTCY,ACCOUNTING 2,2037,1,FS2006,BUS,"PRESTIGIACOMO,CARL C",38,68,64,26,18,2.369
ACCTCY,ACCOUNTING 2,2037,2,FS2006,BUS,"PRESTIGIACOMO,CARL C",62,57,42,15,11,2.735
ACCTCY,HONORS ACCOUNTING 1 GH,2136H,1,FS2006,BUS,"NIKOLAI,LOREN ALFRED",11,6,2,0,0,3.474
ACCTCY,HONORS ACCOUNTING 1 GH,2136H,2,FS2006,BUS,"NIKOLAI,LOREN ALFRED",14,5,1,0,0,3.65
ACCTCY,COMP-BASED DATA SYSTEMS,2258,1,FS2006,BUS,"HOCKMAN,KRISTEN MICH",4,10,7,1,0,2.8
ACCTCY,COMP-BASED DATA SYSTEMS,2258,10,FS2006,BUS,STAFF,7,14,6,1,0,2.975
ACCTCY,COMP-BASED DATA SYSTEMS,2258,11,FS2006,BUS,"QUINN,JASON PATRICK",7,10,7,2,1,2.796
ACCTCY,COMP-BASED DATA SYSTEMS,2258,12,FS2006,BUS,"CHIU,THERESA",6,12,6,2,0,2.869
ACCTCY,COMP-BASED DATA SYSTEMS,2258,13,FS2006,BUS,,3,5,12,3,2,2.208
ACCTCY,COMP-BASED DATA SYSTEMS,2258,2,FS2006,BUS,"HENDERSON,BRADLEY CH",7,11,5,0,0,3.126
ACCTCY,COMP-BASED DATA SYSTEMS,2258,3,FS2006,BUS,"GANEY,ANDREW C",7,15,6,0,0,3.068
ACCTCY,COMP-BASED DATA SYSTEMS,2258,4,FS2006,BUS,"FRESENBURG,ANDREW NI",2,17,7,2,0,2.668
ACCTCY,COMP-BASED DATA SYSTEMS,2258,5,FS2006,BUS,"LUMPKIN,MATTHEW S",8,13,6,1,0,2.979
ACCTCY,COMP-BASED DATA SYSTEMS,2258,6,FS2006,BUS,"CHRUM,MICHAEL J",4,19,4,1,1,2.848
ACCTCY,COMP-BASED DATA SYSTEMS,2258,7,FS2006,BUS,"ARNZEN,ANDREW N",6,14,4,0,2,2.881
ACCTCY,COMP-BASED DATA SYSTEMS,2258,8,FS2006,BUS,"AIAZZI,ANTHONY L",6,13,8,1,1,2.821
ACCTCY,COMP-BASED DATA SYSTEMS,2258,9,FS2006,BUS,STAFF,5,8,7,1,2,2.617
ACCTCY,FIN ACCT THRY & PRACT 1,3326,1,FS2006,BUS,"ZHANG,HONGMEI",12,16,4,0,0,3.241
ACCTCY,FIN ACCT THRY & PRACT 1,3326,2,FS2006,BUS,"ZHANG,HONGMEI",10,17,5,0,0,3.166
ACCTCY,FIN ACCT THRY & PRACT 1,3326,3,FS2006,BUS,"KLEEN,PENNY LYNN",12,16,3,0,0,3.3
ACCTCY,FIN ACCT THRY & PRACT 1,3326,4,FS2006,BUS,"KLEEN,PENNY LYNN",10,15,4,0,0,3.207
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,1,FS2006,BUS,"WHEELER,PATRICK RAND",36,1,0,0,0,3.851
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,2,FS2006,BUS,"WHEELER,PATRICK RAND",28,3,0,0,0,3.855
ACCTCY,COST & MANAGERIAL ACCT,3347,1,FS2006,BUS,"PRATHER-KINSEY,JENIC",6,15,0,0,0,3.286
ACCTCY,COST & MANAGERIAL ACCT,3347,2,FS2006,BUS,"PRATHER-KINSEY,JENIC",13,11,0,0,0,3.517
ACCTCY,INTRODUCTION TO TAXATION,4353,1,FS2006,BUS,"MOSER,WILLIAM JOSEPH",10,15,6,2,1,2.894
