Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,INTRO TO ACCOUNTING,10,1,FS2003,BUS,"DELLINGER,WILLIAM ED",37,40,13,1,1,3.158
ACCTCY,ACCOUNTING 1,36,1,FS2003,BUS,"CUNNINGHAM,BILLIE M",89,135,76,18,15,2.796
ACCTCY,ACCOUNTING 1,36,2,FS2003,BUS,"CUNNINGHAM,BILLIE M",135,160,72,14,10,3.013
ACCTCY,ACCOUNTING 1,36,3,FS2003,BUS,"REICHELT,KENNETH JOH",12,25,16,4,2,2.695
ACCTCY,ACCOUNTING 2,37,1,FS2003,BUS,"CUNNINGHAM,BILLIE M",31,63,57,22,19,2.339
ACCTCY,ACCOUNTING 2,37,2,FS2003,BUS,"STUREK,DIANE",16,48,63,31,13,2.135
ACCTCY,HONORS ACCOUNTING 1 GH,136GH,1,FS2003,BUS,"NIKOLAI,LOREN ALFRED",16,6,1,0,0,3.652
ACCTCY,HONORS ACCOUNTING 1 GH,136GH,2,FS2003,BUS,"NIKOLAI,LOREN ALFRED",11,9,0,0,0,3.55
ACCTCY,COMP-BASED DATA SYSTEMS,258,1,FS2003,BUS,"CALMUS,VIOLETA",11,14,5,2,0,3.044
ACCTCY,COMP-BASED DATA SYSTEMS,258,10,FS2003,BUS,"GAVRILOIU,IOAN DANIE",4,10,12,1,1,2.504
ACCTCY,COMP-BASED DATA SYSTEMS,258,2,FS2003,BUS,"CALMUS,VIOLETA",10,11,6,2,0,2.959
ACCTCY,COMP-BASED DATA SYSTEMS,258,3,FS2003,BUS,"ECKERLE JR,HERMAN JO",9,12,4,2,2,2.786
ACCTCY,COMP-BASED DATA SYSTEMS,258,4,FS2003,BUS,"ECKERLE JR,HERMAN JO",8,8,12,0,0,2.836
ACCTCY,COMP-BASED DATA SYSTEMS,258,5,FS2003,BUS,"GAVRILOIU,IOAN DANIE",12,13,6,0,1,3.066
ACCTCY,COMP-BASED DATA SYSTEMS,258,6,FS2003,BUS,"SCHIFFEL,LEE",15,13,3,0,2,3.136
ACCTCY,COMP-BASED DATA SYSTEMS,258,7,FS2003,BUS,"NIKITKOV,ALEXEI NIKO",15,13,1,1,3,3.091
ACCTCY,COMP-BASED DATA SYSTEMS,258,8,FS2003,BUS,"NIKITKOV,ALEXEI NIKO",11,16,7,2,1,2.919
ACCTCY,COMP-BASED DATA SYSTEMS,258,9,FS2003,BUS,"SCHIFFEL,LEE",12,7,8,2,2,2.768
ACCTCY,FINANCIAL ACCT CONCEPTS,305,1,FS2003,BUS,"PRESTIGIACOMO,C CHRI",3,15,18,1,0,2.492
ACCTCY,FINANCIAL ACCT CONCEPTS,305,2,FS2003,BUS,"PRESTIGIACOMO,C CHRI",4,20,16,2,0,2.576
ACCTCY,FINANCIAL ACCT CONCEPTS,305,3,FS2003,BUS,"WANG,DECHUN",19,14,0,2,0,3.429
ACCTCY,MANAGERIAL ACCOUNTING,310,1,FS2003,BUS,"CUNNINGHAM,BILLIE M",10,11,1,0,0,3.409
ACCTCY,FIN ACCT THRY & PRACT 1,326,1,FS2003,BUS,"SHAW,KENNETH WILLIAM",9,15,3,0,0,3.211
ACCTCY,FIN ACCT THRY & PRACT 1,326,2,FS2003,BUS,"SHAW,KENNETH WILLIAM",11,17,0,0,0,3.382
ACCTCY,FIN ACCT THRY & PRACT 1,326,3,FS2003,BUS,"KIM,MYUNG-SUN",6,21,8,0,1,2.828
ACCTCY,FIN ACCT THRY & PRACT 1,326,4,FS2003,BUS,"KIM,MYUNG-SUN",7,13,13,0,1,2.691
ACCTCY,ACCOUNTING INFO SYSTEMS,328,2,FS2003,BUS,"WHEELER,PATRICK RAND",15,11,1,1,0,3.429
ACCTCY,ACCOUNTING INFO SYSTEMS,328,3,FS2003,BUS,"WHEELER,PATRICK RAND",15,14,0,0,0,3.517
ACCTCY,COST & MANAGERIAL ACCT,347,1,FS2003,BUS,"PRATHER-KINSEY,JENIC",12,23,0,0,0,3.351
ACCTCY,INTRODUCTION TO TAXATION,353,1,FS2003,BUS,"PEREIRA,RAYNOLDE",31,11,0,0,0,3.695
ACCTCY,INTRODUCTION TO TAXATION,353,2,FS2003,BUS,"PEREIRA,RAYNOLDE",32,9,0,0,0,3.766
ACCTCY,GOVTL ACNTNG & BUDGETING,365,1,FS2003,BUS,"BOWMAN,KRISTEN MICHE",8,5,2,0,0,3.4
ACCTCY,TAX OF BUSINESS ENTITIES,373,1,FS2003,BUS,"KLEIN,STEVEN HENRY",13,18,1,0,0,3.375
ACCTCY,AUDIT THEORY & PRACT 1,384,1,FS2003,BUS,"STUREK,DIANE",13,12,3,0,1,3.241
ACCTCY,AUDIT THEORY & PRACT 1,384,2,FS2003,BUS,"STUREK,DIANE",12,16,4,1,0,3.182
ACCTCY,ADV ACCOUNT INFORM SYSTM,408,1,FS2003,BUS,"ARUNACHALAM,VAIRAM",22,5,0,0,0,3.815
ACCTCY,INTERNATIONAL ACCOUNTING,419,1,FS2003,BUS,"PRATHER-KINSEY,JENIC",5,26,0,0,0,3.171
ACCTCY,TAX RESEARCH & PLANNING,423,1,FS2003,BUS,"PEREIRA,RAYNOLDE",34,5,0,0,0,3.872
ACCTCY,FIN ACCT THEORY & PRAC 3,436,1,FS2003,BUS,"STAUDER,THOMAS J",11,9,4,0,0,3.292
ACCTCY,ISS IN ACCT SYST DEVLPMN,448,1,FS2003,BUS,"MAULDIN,ELAINE G",13,7,0,0,0,3.65
ACCTCY,ISS IN ACCT SYST DEVLPMN,448,2,FS2003,BUS,"MAULDIN,ELAINE G",13,6,0,0,0,3.684
ACCTCY,ACCT & BSNSS STRATG ANLY,450,1,FS2003,BUS,"KHURANA,INDER K",15,10,0,0,0,3.6
ACCTCY,ACCT & BSNSS STRATG ANLY,450,2,FS2003,BUS,"KHURANA,INDER K",13,21,0,0,0,3.382
AERO,FOUNDTN U.S. AIR FORCE,11,1,FS2003,A & S,"MOSELY JR,WAYNE",14,5,1,2,0,3.409
AERO,FOUNDTN U.S. AIR FORCE,11,2,FS2003,A & S,"MOSELY JR,WAYNE",6,2,1,0,1,3.2
AERO,EVOL USAF AIR & SPC PWR,21,1,FS2003,A & S,"DONELSON,TERY L",17,2,1,0,0,3.8
AERO,EVOL USAF AIR & SPC PWR,21,2,FS2003,A & S,"DONELSON,TERY L",11,1,0,1,0,3.692
AERO,AF LEADERSHIP STUDIES,231,1,FS2003,A & S,"JOHNSON,CHRISTOPHER",4,10,1,0,0,3.2
AERO,NTL SECR AFFR/PRP F/DUTY,241,2,FS2003,A & S,"HOFFSETTE,LEON M.",16,8,0,0,0,3.667
AG EC,INTRO TO AGRIBUSN MNGMT,10,1,FS2003,AF&NR,"SYKUTA,MICHAEL E",39,0,0,0,1,3.9
AG EC,APPLIED MICROECONOMICS,41,1,FS2003,AF&NR,"DAUVE,JAN L",40,89,104,6,14,2.532
AG EC,APPLIED MACROECONOMICS,42,1,FS2003,AF&NR,"DAUVE,JAN L",24,56,61,4,8,2.543
AG EC,INTRO MATH AG ECONOMICS,123,1,FS2003,AF&NR,"MONSON,MICHAEL J",8,4,10,0,0,2.95
AG EC,AG MARKETING SYSTEM,183,1,FS2003,AF&NR,"BULLOCK,J BRUCE",23,33,17,4,0,2.974
AG EC,AGRICULTURAL SALES,223,1,FS2003,AF&NR,"LEHMAN,DAVID E",65,14,7,0,2,3.591
AG EC,NEW PRODUCTS MARKETING,224,1,FS2003,AF&NR,"LEHMAN,DAVID E",146,13,4,0,0,3.873
AG EC,STATISTICAL ANALYSIS,225,1,FS2003,AF&NR,"WOMACK,ABNER WILLIS",11,5,6,2,1,2.848
