Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,INTRO TO ACCOUNTING,2010,1,FS2004,BUS,"DELLINGER,WILLIAM ED",31,39,12,3,3,2.936
ACCTCY,ACCOUNTING 1,2036,1,FS2004,BUS,"CUNNINGHAM,BILLIE M",45,119,90,47,13,2.433
ACCTCY,ACCOUNTING 1,2036,2,FS2004,BUS,"CUNNINGHAM,BILLIE M",96,197,110,32,22,2.685
ACCTCY,ACCOUNTING 1,2036,3,FS2004,BUS,"BRASWELL,JAMES M",13,24,12,4,4,2.667
ACCTCY,ACCOUNTING 2,2037,1,FS2004,BUS,"PRESTIGIACOMO,CARL C",56,89,43,13,6,2.85
ACCTCY,ACCOUNTING 2,2037,2,FS2004,BUS,"PRESTIGIACOMO,CARL C",44,73,41,12,11,2.702
ACCTCY,HONORS ACCOUNTING 1 GH,2136H,1,FS2004,BUS,"NIKOLAI,LOREN ALFRED",11,8,0,0,0,3.579
ACCTCY,HONORS ACCOUNTING 1 GH,2136H,2,FS2004,BUS,"NIKOLAI,LOREN ALFRED",14,4,2,0,0,3.6
ACCTCY,COMP-BASED DATA SYSTEMS,2258,1,FS2004,BUS,"APPLETON,LUCY ANN",9,12,2,0,0,3.304
ACCTCY,COMP-BASED DATA SYSTEMS,2258,10,FS2004,BUS,"ORMS,DANIEL C",5,12,4,0,1,2.909
ACCTCY,COMP-BASED DATA SYSTEMS,2258,11,FS2004,BUS,"ERICSON,MATTHEW T",12,10,4,2,0,3.143
ACCTCY,COMP-BASED DATA SYSTEMS,2258,12,FS2004,BUS,"HOCKMAN,KRISTEN MICH",8,9,9,0,0,2.962
ACCTCY,COMP-BASED DATA SYSTEMS,2258,13,FS2004,BUS,"TASCHLER,ELIZABETH M",7,5,4,1,0,3.059
ACCTCY,COMP-BASED DATA SYSTEMS,2258,2,FS2004,BUS,"SNIDER,JAMES S",13,9,3,0,0,3.4
