Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
AAE,ECON OF INST & ORGANZ,8050,01,FS2018,CAFNR,"JAMES,HARVEY S",11,0,0,0,0,4.0
AAE,NATURAL RES & ENVIRON EC,8410,01,FS2018,CAFNR,"MCCANN,LAURA M J",9,1,0,0,0,3.84
ABM,INTRO TO AGRIBUSN MNGMT,1010,01,FS2018,CAFNR,"MORELAND,JILL ANNETTE",39,10,0,0,1,3.684
ABM,APPLIED MICROECONOMICS,1041,01,FS2018,CAFNR,"JAMES,HARVEY S",115,67,13,4,2,3.42
ABM,APPLIED MICROECONOMICS,1041,02,FS2018,CAFNR,"PALACIOS RIVERA,JAMILLE",38,38,34,11,1,2.857
ABM,APPLIED COMPUTER APP,1200,01,FS2018,CAFNR,"PALACIOS RIVERA,JAMILLE",45,13,7,3,3,3.362
ABM,QUANT APPLICATIONS IN AG,2123,01,FS2018,CAFNR,"MONSON,MICHAEL J",7,5,6,2,2,2.536
ABM,AG MARKETING SYSTEM,2183,01,FS2018,CAFNR,"KRUSE,JOHN R",18,26,8,0,1,3.064
ABM,AGRICULTURAL SALES,2223,01,FS2018,CAFNR,"SOWERS,LINDA FRANZ",22,45,8,3,0,3.099
ABM,NEW PRODUCTS MARKETING -,3224W,01,FS2018,CAFNR,"PALACIOS RIVERA,JAMILLE",31,17,2,0,2,3.477
ABM,GENERAL FARM MANAGEMENT,3260,01,FS2018,CAFNR,"MONSON,MICHAEL J",12,15,14,1,2,2.786
ABM,INTRNTL FD TRADE & POLCY,3272,01,FS2018,CAFNR,"MOORE,KEVIN C",3,5,9,0,2,2.353
ABM,AGRIBUSINESS FINANCE,3282,01,FS2018,CAFNR,"MOORE,KEVIN C",2,6,10,1,0,2.347
ABM,FUND ENTREPRENEURSHIP,3283,01,FS2018,CAFNR,"KENDALL,ANNETTE CLAIR",44,18,2,0,0,3.6
ABM,AGRIC MARKT & PROCURMENT,3294,01,FS2018,CAFNR,"FOREMAN,MARTYN L",11,15,3,0,0,3.245
ABM,MICROECON THEORY & APPL,4240,01,FS2018,CAFNR,"WESTGREN,RANDALL EDWARD",3,6,3,1,1,2.621
ABM,AG RISK MANAGEMENT,4295,01,FS2018,CAFNR,"MASSEY,RAYMOND E",5,4,0,1,0,3.21
ABM,TPC IN AGRIBUSN MANGMT,4301,01,FS2018,CAFNR,"MORELAND,JILL ANNETTE",29,3,1,0,1,3.7
ABM,TPC IN AGRIBUSN MANGMT,4301,02,FS2018,CAFNR,"FOREMAN,MARTYN L",11,3,0,0,0,3.743
ABM,AGRIBUS MNGMNT STRATG -,4971W,01,FS2018,CAFNR,"SYKUTA,MICHAEL E",9,27,1,0,0,3.2
ACCTCY,INTRO TO ACCOUNTING,2010,03,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",45,50,34,12,5,2.814
ACCTCY,ACCOUNTING 1,2026,02,FS2018,CBUSN,"ANDERSON,ERIN ABBOTT",1,3,2,4,0,2.13
ACCTCY,ACCOUNTING 1,2036,A,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,9,9,3,0,2.714
ACCTCY,ACCOUNTING 1,2036,AA,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,10,8,5,1,2.404
ACCTCY,ACCOUNTING 1,2036,B,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",10,5,6,6,1,2.586
ACCTCY,ACCOUNTING 1,2036,C,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,11,6,2,1,2.744
ACCTCY,ACCOUNTING 1,2036,D,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",12,9,7,2,0,3.023
ACCTCY,ACCOUNTING 1,2036,E,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",8,8,10,4,0,2.647
ACCTCY,ACCOUNTING 1,2036,F,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",5,6,16,3,0,2.433
ACCTCY,ACCOUNTING 1,2036,G,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,12,7,2,2,2.657
ACCTCY,ACCOUNTING 1,2036,H,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",8,14,5,2,1,2.877
ACCTCY,ACCOUNTING 1,2036,J,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,6,8,4,0,2.521
ACCTCY,ACCOUNTING 1,2036,K,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",1,10,9,4,2,2.2
ACCTCY,ACCOUNTING 1,2036,L,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",5,13,9,0,1,2.718
ACCTCY,ACCOUNTING 1,2036,M,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",3,8,12,2,2,2.285
ACCTCY,ACCOUNTING 1,2036,N,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",3,12,7,3,2,2.374
ACCTCY,ACCOUNTING 1,2036,P,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,8,7,3,2,2.413
ACCTCY,ACCOUNTING 1,2036,R,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,9,5,5,1,2.559
ACCTCY,ACCOUNTING 1,2036,S,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",7,10,6,4,2,2.5
ACCTCY,ACCOUNTING 1,2036,T,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,6,7,6,2,2.319
ACCTCY,ACCOUNTING 1,2036,U,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",4,7,10,5,0,2.373
ACCTCY,ACCOUNTING 1,2036,V,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",3,15,6,4,2,2.493
ACCTCY,ACCOUNTING 1,2036,W,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",1,12,10,4,1,2.329
ACCTCY,ACCOUNTING 1,2036,X,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,3,7,5,5,1.977
ACCTCY,ACCOUNTING 1,2036,Z,FS2018,CBUSN,"PRESTIGIACOMO,CARL CHRI",6,7,8,4,2,2.363
ACCTCY,ACCOUNTING 2,2037,A,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",9,8,11,0,0,2.907
ACCTCY,ACCOUNTING 2,2037,B,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",13,11,5,1,1,3.106
ACCTCY,ACCOUNTING 2,2037,C,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",12,7,11,2,0,2.878
ACCTCY,ACCOUNTING 2,2037,D,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",7,13,6,5,1,2.625
ACCTCY,ACCOUNTING 2,2037,E,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",6,13,4,3,2,2.611
ACCTCY,ACCOUNTING 2,2037,F,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",7,9,10,2,0,2.75
ACCTCY,ACCOUNTING 2,2037,G,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",9,14,7,0,0,3.087
ACCTCY,ACCOUNTING 2,2037,H,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",8,11,9,2,0,2.803
ACCTCY,ACCOUNTING 2,2037,J,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",5,16,4,2,2,2.679
ACCTCY,ACCOUNTING 2,2037,K,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",5,11,9,4,1,2.54
ACCTCY,ACCOUNTING 2,2037,L,FS2018,CBUSN,"GINGRICH,KARI MICHELLE",3,9,10,1,2,2.364
ACCTCY,COMP-BASED DATA SYSTEMS,2258,01,FS2018,CBUSN,"HOCKMAN,KRISTEN MICHELL",101,129,53,13,2,3.053
ACCTCY,COMP-BASED DATA SYSTEMS,2258,02,FS2018,CBUSN,"HOCKMAN,KRISTEN MICHELL",38,57,48,16,2,2.685
ACCTCY,COMP-BASED DATA SYSTEMS,2258,18,FS2018,CBUSN,"HOCKMAN,KRISTEN MICHELL",7,10,3,1,0,3.052
ACCTCY,FIN ACCT THRY & PRACT 1,3326,01,FS2018,CBUSN,"PAWLICZEK,ANDREA CHRIST",14,17,2,0,0,3.273
ACCTCY,FIN ACCT THRY & PRACT 1,3326,02,FS2018,CBUSN,"GLENDENING,MATTHEW",11,18,2,0,0,3.281
ACCTCY,FIN ACCT THRY & PRACT 1,3326,03,FS2018,CBUSN,"PAWLICZEK,ANDREA CHRIST",16,15,2,0,0,3.361
ACCTCY,FIN ACCT THRY & PRACT 1,3326,04,FS2018,CBUSN,"GLENDENING,MATTHEW",15,15,1,0,0,3.384
ACCTCY,FIN ACCT THRY & PRACT 1,3326,05,FS2018,CBUSN,"PAWLICZEK,ANDREA CHRIST",9,19,1,0,0,3.255
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,01,FS2018,CBUSN,"BAER,LEAH M",1,27,3,0,0,3.023
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,02,FS2018,CBUSN,"BAER,LEAH M",5,24,6,0,0,3.066
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,03,FS2018,CBUSN,"MAULDIN,ELAINE G",5,22,4,0,0,3.003
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,04,FS2018,CBUSN,"BAER,LEAH M",3,24,1,0,0,3.061
ACCTCY,ACCOUNTING INFO SYSTEMS,3328,05,FS2018,CBUSN,"MAULDIN,ELAINE G",5,21,4,0,1,3.003
ACCTCY,COST & MANAGERIAL ACCT,3347,01,FS2018,CBUSN,"CHY,MAHAFUZUR RAHAMAN",19,30,6,0,0,3.171
ACCTCY,COST & MANAGERIAL ACCT,3347,02,FS2018,CBUSN,"CHY,MAHAFUZUR RAHAMAN",21,17,9,0,0,3.211
ACCTCY,COST & MANAGERIAL ACCT,3347,03,FS2018,CBUSN,"CHY,MAHAFUZUR RAHAMAN",10,15,0,0,0,3.364
ACCTCY,INTRODUCTION TO TAXATION,4353,01,FS2018,CBUSN,"WILSON,RACHEL ANN",6,9,1,0,0,3.388
ACCTCY,FINANCIAL ACCT CONCEPTS,4356,01,FS2018,CBUSN,"STANSFIELD,JOHN J",28,60,13,1,0,3.075
