Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,ACCOUNTING 1,36,1,FS2000,BUS,CUNNINGHAM,71,78,59,35,17,2.581
ACCTCY,ACCOUNTING 1,36,2,FS2000,BUS,CUNNINGHAM,84,112,54,36,11,2.747
ACCTCY,ACCOUNTING 1,36,3,FS2000,BUS,,14,16,15,5,5,2.527
ACCTCY,ACCOUNTING 2,37,1,FS2000,BUS,CUNNINGHAM,18,34,47,13,8,2.342
ACCTCY,ACCOUNTING 2,37,2,FS2000,BUS,NIKOLAI,20,47,56,22,7,2.336
ACCTCY,HONORS ACCOUNTING 1 GH,136GH,1,FS2000,BUS,NIKOLAI,14,7,2,0,0,3.522
ACCTCY,HONORS ACCOUNTING 1 GH,136GH,2,FS2000,BUS,NIKOLAI,14,7,2,0,0,3.522
ACCTCY,COMP-BASED DATA SYSTEMS,258,1,FS2000,BUS,,2,9,6,2,0,2.579
ACCTCY,COMP-BASED DATA SYSTEMS,258,2,FS2000,BUS,,5,10,8,1,1,2.68
ACCTCY,COMP-BASED DATA SYSTEMS,258,3,FS2000,BUS,,11,13,2,1,0,3.259
ACCTCY,COMP-BASED DATA SYSTEMS,258,4,FS2000,BUS,,5,12,8,1,0,2.808
ACCTCY,COMP-BASED DATA SYSTEMS,258,5,FS2000,BUS,,6,17,4,0,0,3.074
ACCTCY,COMP-BASED DATA SYSTEMS,258,6,FS2000,BUS,,11,5,8,2,1,2.852
ACCTCY,COMP-BASED DATA SYSTEMS,258,7,FS2000,BUS,,7,14,3,1,0,3.08
ACCTCY,COMP-BASED DATA SYSTEMS,258,8,FS2000,BUS,,6,10,4,0,3,2.696
ACCTCY,COMP-BASED DATA SYSTEMS,258,9,FS2000,BUS,,7,5,6,2,2,2.591
ACCTCY,FINANCIAL ACCT CONCEPTS,305,1,FS2000,BUS,PRESTIGIACOMO,5,22,13,3,0,2.619
ACCTCY,FINANCIAL ACCT CONCEPTS,305,2,FS2000,BUS,,5,17,17,4,0,2.528
ACCTCY,MANAGERIAL ACCOUNTING,310,1,FS2000,BUS,STUREK,10,11,3,0,0,3.292
ACCTCY,FIN ACCT THRY & PRACT 1,326,1,FS2000,BUS,BETTINHAUS,7,14,6,1,0,2.996
ACCTCY,FIN ACCT THRY & PRACT 1,326,2,FS2000,BUS,BETTINGHAUS,9,14,4,1,0,3.064
ACCTCY,FIN ACCT THRY & PRACT 1,326,3,FS2000,BUS,"KIM,MYUNG-SUN",5,15,4,0,0,3.079
ACCTCY,FIN ACCT THRY & PRACT 1,326,4,FS2000,BUS,"KIM,MYUNG-SUN",9,11,4,0,0,3.183
ACCTCY,ACCOUNTING INFO SYSTEMS,328,1,FS2000,BUS,MAULDIN,7,9,1,0,0,3.335
ACCTCY,ACCOUNTING INFO SYSTEMS,328,2,FS2000,BUS,BECJ,13,6,1,0,0,3.615
ACCTCY,ACCOUNTING INFO SYSTEMS,328,3,FS2000,BUS,MAULDIN,12,8,3,1,2,3.015
ACCTCY,COST & MANAGERIAL ACCT,347,1,FS2000,BUS,"PRATHER-KINSEY,JENIC",10,12,5,0,2,2.966
ACCTCY,INTRODUCTION TO TAXATION,353,1,FS2000,BUS,"PEREIRA,RAYNOLDE",21,1,0,0,0,3.955
ACCTCY,INTRODUCTION TO TAXATION,353,2,FS2000,BUS,"PEREIRA,RAYNOLDE",20,7,0,0,0,3.741
