Course Dept,Course Title,Course Number,Section Number,Term,AU,Instructor,A Range,B Range,C Range,D Range,F Range, Avg Grade
ACCTCY,ACCOUNTING 1,36,1A,FS1998,B&PA,,3,7,12,6,2,2.1
ACCTCY,ACCOUNTING 1,36,1B,FS1998,B&PA,,4,9,14,7,2,2.167
ACCTCY,ACCOUNTING 1,36,1C,FS1998,B&PA,,2,9,13,8,3,1.971
ACCTCY,ACCOUNTING 1,36,1D,FS1998,B&PA,,4,8,13,5,3,2.152
ACCTCY,ACCOUNTING 1,36,1E,FS1998,B&PA,,5,9,9,4,2,2.379
ACCTCY,ACCOUNTING 1,36,1F,FS1998,B&PA,,1,14,11,7,0,2.273
ACCTCY,ACCOUNTING 1,36,1G,FS1998,B&PA,,3,11,12,6,1,2.273
ACCTCY,ACCOUNTING 1,36,1H,FS1998,B&PA,,3,8,8,9,1,2.103
ACCTCY,ACCOUNTING 1,36,2A,FS1998,B&PA,,11,11,7,2,3,2.735
ACCTCY,ACCOUNTING 1,36,2B,FS1998,B&PA,,5,15,10,3,3,2.444
ACCTCY,ACCOUNTING 1,36,2C,FS1998,B&PA,,5,5,16,3,1,2.333
ACCTCY,ACCOUNTING 1,36,2D,FS1998,B&PA,,4,5,11,4,3,2.111
ACCTCY,ACCOUNTING 1,36,2E,FS1998,B&PA,,4,10,13,6,2,2.229
ACCTCY,ACCOUNTING 1,36,2F,FS1998,B&PA,,2,7,14,7,0,2.133
ACCTCY,ACCOUNTING 1,36,2G,FS1998,B&PA,,5,13,11,2,1,2.594
ACCTCY,ACCOUNTING 1,36,2H,FS1998,B&PA,,4,12,13,3,2,2.382
ACCTCY,ACCOUNTING 1,36,2J,FS1998,B&PA,,5,10,12,1,1,2.586
ACCTCY,ACCOUNTING 1,36,3A,FS1998,B&PA,,2,11,11,9,3,2.0
ACCTCY,ACCOUNTING 1,36,3B,FS1998,B&PA,,2,9,12,5,1,2.207
ACCTCY,ACCOUNTING 2,37,1A,FS1998,B&PA,,4,10,14,0,0,2.643
ACCTCY,ACCOUNTING 2,37,1B,FS1998,B&PA,,6,9,13,2,0,2.633
ACCTCY,ACCOUNTING 2,37,1C,FS1998,B&PA,,4,5,14,2,2,2.259
ACCTCY,ACCOUNTING 2,37,1D,FS1998,B&PA,,3,5,12,6,1,2.111
ACCTCY,ACCOUNTING 2,37,1E,FS1998,B&PA,,2,5,11,4,1,2.13
ACCTCY,ACCOUNTING 2,37,2A,FS1998,B&PA,,4,10,8,3,0,2.6
ACCTCY,ACCOUNTING 2,37,2B,FS1998,B&PA,,9,8,14,0,0,2.839
ACCTCY,ACCOUNTING 2,37,2C,FS1998,B&PA,,2,9,12,2,1,2.346
ACCTCY,ACCOUNTING 2,37,2D,FS1998,B&PA,,5,8,11,5,0,2.448
ACCTCY,ACCOUNTING 2,37,2E,FS1998,B&PA,,3,7,11,2,1,2.375
ACCTCY,HONORS ACCOUNTING 1 GH,136GH,1,FS1998,B&PA,NIKOLAI,12,10,2,0,0,3.417
ACCTCY,HONORS ACCOUNTING 1 GH,136GH,2,FS1998,B&PA,NIKOLAI,13,10,1,0,0,3.5
ACCTCY,COMP-BASED DATA SYSTEMS,258,1,FS1998,B&PA,,7,6,6,1,0,2.95
ACCTCY,COMP-BASED DATA SYSTEMS,258,2,FS1998,B&PA,,8,11,4,2,0,3.0
ACCTCY,COMP-BASED DATA SYSTEMS,258,3,FS1998,B&PA,,6,13,7,1,0,2.889
ACCTCY,COMP-BASED DATA SYSTEMS,258,4,FS1998,B&PA,,7,12,5,2,0,2.923
ACCTCY,COMP-BASED DATA SYSTEMS,258,5,FS1998,B&PA,,8,9,7,1,0,2.96
ACCTCY,COMP-BASED DATA SYSTEMS,258,6,FS1998,B&PA,,9,9,8,1,0,2.963
ACCTCY,COMP-BASED DATA SYSTEMS,258,7,FS1998,B&PA,,8,10,7,1,0,2.962
ACCTCY,COMP-BASED DATA SYSTEMS,258,8,FS1998,B&PA,,6,13,4,1,1,2.88
ACCTCY,COMP-BASED DATA SYSTEMS,258,9,FS1998,B&PA,,2,11,7,3,0,2.522
ACCTCY,FINANCIAL ACCT CONCEPTS,305,1,FS1998,B&PA,,10,17,12,6,0,2.636
ACCTCY,FINANCIAL ACCT CONCEPTS,305,2,FS1998,B&PA,,3,13,9,2,0,2.63
ACCTCY,MANAGERIAL ACCOUNTING,310,1,FS1998,B&PA,,9,9,2,0,0,3.35
ACCTCY,FIN ACCT THRY & PRACT 1,326,1,FS1998,B&PA,KHURANA,9,10,2,0,0,3.376
ACCTCY,FIN ACCT THRY & PRACT 1,326,2,FS1998,B&PA,KHURANA,9,11,1,0,1,3.255
ACCTCY,FIN ACCT THRY & PRACT 1,326,3,FS1998,B&PA,SWEENEY,6,9,4,1,0,2.985
ACCTCY,FIN ACCT THRY & PRACT 1,326,4,FS1998,B&PA,SWEENEY,8,8,3,1,0,3.135
ACCTCY,ACCOUNTING INFO SYSTEMS,328,1,FS1998,B&PA,REYNOLDS,18,10,0,0,0,3.643
ACCTCY,ACCOUNTING INFO SYSTEMS,328,2,FS1998,B&PA,SUMMERS,7,15,1,0,0,3.261
ACCTCY,ACCOUNTING INFO SYSTEMS,328,3,FS1998,B&PA,SUMMERS,10,11,0,0,0,3.476
ACCTCY,COST & MANAGERIAL ACCT,347,2,FS1998,B&PA,PRATHER,4,8,3,0,0,3.027
ACCTCY,INTRODUCTION TO TAXATION,353,1,FS1998,B&PA,SCHWARTZ,8,8,1,0,0,3.376
ACCTCY,INTRODUCTION TO TAXATION,353,2,FS1998,B&PA,ATWOOD,14,15,7,1,0,3.062
ACCTCY,GOVTL ACNTNG & BUDGETING,365,1,FS1998,B&PA,WILSON,17,13,1,0,0,3.516
ACCTCY,FIN ACCT THEORY & PRAC 3,366,1,FS1998,B&PA,DOCKWEILER,2,9,1,0,0,3.133
ACCTCY,TAX OF BUSINESS ENTITIES,373,1,FS1998,B&PA,SCHWARTZ,15,9,1,0,0,3.512
ACCTCY,AUDIT THEORY & PRACT 1,404,1,FS1998,B&PA,"MAULDIN,ELAINE G",15,9,0,0,0,3.625
ACCTCY,AUDIT THEORY & PRACT 1,404,2,FS1998,B&PA,"MAULDIN,ELAINE G",9,6,1,0,0,3.5
ACCTCY,ACCT INFO SYS THEOR/CONC,408,1,FS1998,B&PA,ARUNACHALOM,12,5,0,0,0,3.706
ACCTCY,TAX RESEARCH & JUDGMENT,423,1,FS1998,B&PA,ATWOOD,11,8,0,0,0,3.579
ACCTCY,CONTEMP ISS & ACCT PRFNL,450,1,FS1998,B&PA,FRANCIS,9,2,0,0,0,3.818
AERO,THE AIR FORCE TODAY 1,11,1,FS1998,A & S,UNGER,7,7,0,0,0,3.5
AERO,THE AIR FORCE TODAY 1,11,2,FS1998,A & S,,6,4,0,0,0,3.6
AERO,THE AIR FORCE WAY,21,2,FS1998,A & S,DAVENPORT,5,6,0,0,0,3.455
AERO,AF LEADERSHIP & MANGMT 1,131,1,FS1998,A & S,"HERRMANN,STEPHEN J",8,7,0,0,0,3.533
AERO,PREP FOR ACTIVE DUTY 1,141,1,FS1998,A & S,SCHURMEL,7,4,0,0,0,3.636
AG EC,INTRO TO AGRIBUSN MNGMT,10,1,FS1998,AF&NR,COOK,36,24,0,0,3,3.4
AG EC,FOOD/AGRIC IN MACROECON,40,1,FS1998,AF&NR,DAUVE,35,49,74,10,5,2.572
AG EC,FOOD/AGRIC IN MACROECON,40,2,FS1998,AF&NR,DAUVE,32,59,78,18,8,2.453
AG EC,INTRO TO ENVIRONMNTL LAW,156,1,FS1998,AF&NR,MATTHEWS,13,7,11,2,0,2.939
AG EC,AG MARKETING SYSTEM,183,1,FS1998,AF&NR,BULLOCK,17,35,13,5,1,2.873
AG EC,AGRICULTURAL SALES,223,1,FS1998,AF&NR,LEHMAN,53,40,10,2,0,3.371
AG EC,NEW PRODUCTS MARKETING,224,1,FS1998,AF&NR,LEHMAN,67,28,7,0,3,3.486
AG EC,AGR & RURAL ECON POLICY,230,1,FS1998,AF&NR,BULLOCK,8,4,1,1,1,3.133
AG EC,RURAL & AGRIC LAW,257,1,FS1998,AF&NR,MATTHEWS,14,24,26,11,0,2.547
AG EC,GENERAL FARM MANAGEMENT,260,1,FS1998,AF&NR,"MONSON, M",17,16,11,0,1,3.06
AG EC,AGRIBUSINESS FINANCE,282,1,FS1998,AF&NR,CHADDAD,11,15,12,0,0,2.974
AG EC,PLANNING FARM BUSINESS,312,1,FS1998,AF&NR,"MONSON, M",6,11,5,0,1,2.887
AG EC,AGRI-FOOD BSN/COOP MNGMT,319,1,FS1998,AF&NR,COOK,23,16,1,0,0,3.52
AG EC,ENVIRONMNTL LAW & POLICY,356,1,FS1998,AF&NR,MATTHEWS,13,2,1,1,0,3.588
AN SCI,ANIMAL SCIENCE,11,1,FS1998,AF&NR,LAMBERSON,68,86,34,12,3,3.003
AN SCI,ANIMAL SCI LAB PRACTICUM,65,1,FS1998,AF&NR,SPAIN,54,30,6,1,0,3.505
AN SCI,"MEAT CLASS, GRADE & JUDG",104,1,FS1998,AF&NR,CLARKE,6,7,0,0,0,3.415
AN SCI,LIVESTOCK JUDGING,105,1,FS1998,AF&NR,,6,4,1,0,0,3.4
AN SCI,HORSE SELECTION & EVAL,125,1,FS1998,AF&NR,LOCH,20,14,2,0,0,3.5
AN SCI,RUMINANT PRODUCTION,165,1,FS1998,AF&NR,KEISLER/WILLIAMS/,45,81,29,3,1,3.044
AN SCI,PRB: PHYSIOL DOMEST ANML,200,2A,FS1998,AF&NR,SPIERS,4,5,4,4,0,2.529
AN SCI,PRB: PHYSIOL DOMEST ANML,200,2B,FS1998,AF&NR,SPIERS,2,7,6,2,0,2.529
AN SCI,PRB: PHYSIOL DOMEST ANML,200,2C,FS1998,AF&NR,SPIERS,2,1,4,2,1,2.1
AN SCI,PRB: PHYSIOL DOMEST ANML,200,2D,FS1998,AF&NR,SPIERS,7,5,5,1,0,3.0
AN SCI,PRB: PHYSIOL DOMEST ANML,200,2EE,FS1998,AF&NR,SPIERS,14,22,23,13,2,2.446
AN SCI,PRIN & APPL OF ANIM NUTR,202,1,FS1998,AF&NR,KERLEY,19,24,25,12,1,2.593
AN SCI,PRINC OF MEAT SCIENCE,204,1,FS1998,AF&NR,CLARKE,1,12,2,0,0,2.953
